id,description,value
1015660,to buy cows to fatten and breed to have calves to sell.,1
1012747,to purchase a larger quantity of tools and accessories for vehicles.,2
1013808,to purchase grocery products and open a new store,2
1014055,to buy and sell footwear,2
1014202,to pay for the rental of 3 hectares of land where she cultivates basic grains.,2
1014617,to pay for 450 kgs of potato seeds and 150 packages of fodder to feed the livestock.,1
1015061,pay for medical treatment.,2
1015539,"to buy  more soft drinks, bread and other kind of products for her grocery store",2
1015705,to add more stock to his retail shop and also to start up a new mobile money service famously known as Tigo Pesa.,2
1015927,to pay for an old Soviet Union production truck to transport his harvest and animals from his farm to the market.,2
1015328,to pay rent expenses until she can rebuild her old house.,2
1014200,to buy corn to sell tortillas and to invest in buying livestock.,2
1014639,to invest in the production and cultivation of potatoes.,2
1014975,to buy beauty products for her beauty parlor.,2
1015317,"to restock sheets, blankets and curtains in bulk for reselling in Mozambique.",2
1013693,to build a fitting house for her family.,2
1013826,to buy dairy cows in order to increase his livestock headcount and organic milk production volumes,1
1014139,"to buy a variety of clothing, shoes, stationery items, and various other products",2
1014635,to buy a new winter collection of shoes to sell at his stall.,2
1014648,to pay for tools and materials for providing auto repair work.,2
1014751,to acquire a large space for his barbershop.,2
1014767,to buy cooking ingredients wholesale so that she will have time to care for her baby.,2
1014870,to buy silverware to sell in her gift shop.,2
1014885,"to buy food for pigs, toothbrushes, toothpaste, Garden products, etc. ",2
1014987,to buy more fabric and other sewing accessories,2
1015024,to buy more chests and cradles,2
1015404,to buy cattle for fattening and trade.,1
1015457,To purchase agricultural supplies for his cabbage crop.,2
1015527,to pay for repairs of his house,2
1015734,to buy stock of cardboard for making boxes so he can fulfill his new contract.,2
1015796,"to pay for a sow, purchase forage for feeding the livestock and to renovate the engine of a tractor to organize harvesting.",1
1015837,to buy the latest style of clothes to meet her customer's requirements.,2
1015857,to purchase a new trailer so she can continue working and improve her business.,2
1015917,to pay for potato seeds to feed the livestock,1
1015989,buy 10 bags of fertilizer and 5 boxes of herbicide.,2
1014247,to buy merchandise for his general store.,2
1014249,to buy blankets in bulk for resale.,2
1015585,to buy supplies for her general store.,2
1015726,to buy a compression molding machine and plastic crushing raw materials for manufacturing plastic accessories. ,2
1015736,to purchase a car and start a taxi business.,2
1015810,"to pay for 5 piglets, fertilizer, forage for feeding the livestock and organizes partial renovation of the tractor",1
1015838,to restock her new grocery store with more crates of beers and soda to cover ongoing customers demand.,2
1015914,to buy cocoa for resale.,2
1016324,to stock up her pharmacy and grocery store.,2
1016334,to finance her poultry farming.,1
1007663,to buy beans and corn for his produce trading business.,2
1013662,to buy corn and wood.,2
1013669,"to buy eggs, detergents, soaps, boxes of coffee, potatoes, candies, etc in order to stock her store.",2
1013670,"to purchase agricultural products such as fertilizers, herbicides and seeds to prepare the land for planting crops.",2
1013672,"to buy shirts, pants and blouses in order to have a more diverse inventory for her customers.",2
1013674,"to buy corn, plantains, rice, milk, cabbage. chicken meat. cheese, potatoes, flour, yeast, eggs, etc.",2
1013675,"to buy more seeds, fertilizer, compost, pest control, etc., and improve the soil.",2
1014412,to purchase a solar light and gain access to cost efficient hybrid seeds and fertilizer for the coming harvesting season,2
1014452,"to pay for music discs, video games and new stock of perfume to sell in his store. ",2
1005091,to purchase stock of goats to slaughter and get meat for resale,2
1005788,to purchase a solar light and gain access to cost efficient hybrid seeds and fertilizer for maize cultivation.,2
1006352,"to buy food and clothing, eliminating pressure to sell maize for low prices at harvest time.",2
1006468,to purchase mobile devices (phones) in bulk,2
1006936,to buy more stock of fruits and vegetables.,2
1007773,to repair and maintain his motorcycle.,2
1013661,to buy concentrate and vitamins for two cows that have recently given birth and also to buy fertilizer for fruit trees.,1
1013666,to buy two calves to feed and later sell.,1
1013668,to purchase a calf.,1
1014408,to buy cost efficient maize seeds and fertilizer for the coming harvesting season.,2
1013623,"to buy a herd of calves, vaccinations, and supplies.",1
1013649,"to purchase sugar, rice, beans, candy, soup, bread, beverages, soap, condiments, eggs, and other items to stock his store.",2
1013652,to buy DVD's for his business.,2
1013654,to buy vegetables and have a better supplied business.,2
1013657,"to pay rent for a threshing machine and a grinder for cattle fodder, and to pay porters to help harvest the corn crop.",2
1013659,to pay laborers to help him reap the harvest and to buy a refrigerator to keep ice cream.,2
1013663,to buy basic grains and wood to sell.,2
1013664,"to buy a stove and a freezer, to allow her to have the work equipment that she needs in her business to prepare and conserve the foods that she sells.",2
1014420,"to buy items to sell like canned goods, noodles, spices, milk, drinks, coffee, bread, candies and other personal care products",2
1014422,to purchase a solar light and gain access to cost efficient hybrid seeds and fertilizer for maize cultivation.,2
1005148,to add stock of fruits and rent another little plot for vegetables.,2
1005171,to buy assorted tableware and a variety of other merchandise,2
1005214,to purchase bales of clothes for resale.,2
1013621,"to purchase some cooking implements, upgrade her equipment, and buy stock to make beans, �sudado� and �sancocho� [traditional stews made with beef or chicken], chicken with rice, and other types of dishes.",2
1013640,to buy clothes for women.,2
1013647,"to buy a new stove, tables, chairs, pans, spoons and forks, among other utensils she needs for her eating establishment.",2
1014401,"to buy more stock of flour, sugar, soap, cooking oil and other items.",2
1014403,to buy cost efficient maize seeds and fertilizer for the coming harvesting season.,2
1014405,to buy more cattle for fattening.,1
1014407,to buy salon items like braids and weaves to use in her salon.,2
1014372,to buy two calves and food for cattle.,1
1014376,to buy two calves and six sheep.,1
1014426,to buy three calves.,1
1014433,to buy two calves and six sheep.,1
1013219,to increase her beauty salon business.,2
1013634,to buy a motorcycle to transport his products.,2
1013638,to buy soft drinks and beers.,2
1013639,"to buy spare parts for his motorcycle, which is his main means of transport to go to work.",2
1013642,to have working capital to acquire power to negotiate with her suppliers.,2
1013643,"to buy more fertilizers, manure, and pesticides, among other things.",2
1013768,to purchase baby livestock to raise and sell in future.,1
1014013,to buy rexine of various types for her husband's vehicle's seat cover sewing and then selling business.,2
1014371,to buy three calves.,1
1013631,"to diversify her business by incorporating new products, such as women's clothing.",2
1013632,to buy construction materials to remodel her guest accommodations.,2
1013636,bring the sale of naturist products to her residential sector.,2
1014002,diversify her stall into selling snacks and drinks so as to realise more returns. .,2
1014300,to buy piglets to fatten and earn additional income to improve her living standards.,1
1014368,"to buy more coffee, beans, and maize to sell.",2
1014369,to buy three calves.,1
1014373,to buy three sheep and food for his herd.,1
1014378,to buy sheep for fattening.,1
1014386,to buy 15 sheep and food for her herd.,1
1012085,to rear sheep for sale.,1
1013626,"to buy an assortment of clothing, shoes, bags, and accessories for the coming school season.",2
1013627,to buy a larger assortment of men's and women's clothing,2
1014296,to buy some supplies for repairing machine tractors.,2
1014320,to buy more clothes.,2
1014328,to purchase additional goods for her sari-sari store business,2
1014331,To treat his mother,2
1014334,"to Increase on the stock of clothes that she sells, especially for males to match with the growing demand in the market.",2
1014342,"to reinvest in her food vending business by replacing the out of stock items like sacks of flour, maize, beans and rice, and she also wants to restock her grocery store.",2
1014346,to purchase more cattle for reselling in the market,1
1003513,to buy more stationery to sell.,2
1013619,buy a food business,2
1013622,"to buy materials to make his pigsties stronger, and to buy vaccines and feed to fatten up his animals.",1
1013624,"to buy raw materials such as metal, wood, soldering, etc.",2
1014075,to purchase good quality cloth of different colors to earn substantial profits through this investment.,2
1014237,to introduce a new spicy relish to customers.,2
1014295,to pay for chicken meat for his business,2
1014307,"to purchase additional groceries to sell in her store such as canned goods, noodles, spices, milk, coffee, drinks, candies, soap, and personal care products.",2
1014314,to pay for several kilos of dried fish to sell.,2
1014325,to treat his father and buy medicine for his father�s treatment.,2
1007435,to buy silver fish to sell.,2
1012740,"to buy beverages, baked goods, vegetables, fruits, and other products.",2
1012743,"to buy beer, sodas, hard ciders, cookies, and other products.",2
1013445,to buy tools and spare parts for her son for his auto repair shop.,2
1013456,to make some maintenance on his rickshaw.,2
1013594,to buy fertilizers and pay the cost of labor.,2
1013770,to purchase fish to resell,2
1013846,to pay for his wife's medical treatment.,2
1014179,to buy additional grocery products for her store.,2
1014188,"to buy Semitic bread, Semitic butter bread, rice cookies, powdered bread, white bread, etc. for her business.",2
1013800,to purchase a cow in order to increase her profits and pay for her children's education,1
1013598,to buy a 28 meter squared plot of land.,2
1014733,to buy work materials to make plaster sculptures.  ,2
1014990,to buy a new rickshaw with the contribution of savings for her husband's rickshaw driving services.,2
1014335,to buy medicine for her treatment.,2
1014490,Purchase a motorcycle for timely delivery of the citrus fruits he grows and sells.,2
1013454,to buy 12 crates of maltina and 7 crates of assorted drinks. 4 cartons of juice,2
1014363,to have her teeth treated at the dental clinic.,2
1012737,to buy fertilizers that he can apply to two plots of his coffee farm.,2
1014158,to buy sewing equipment for her business.,2
1015445,to pay for her husband's surgery. He is a long-time paraplegic man who was hit by a speeding car that left him severely injured. He's been scheduled for a surgery to repair his vision.,2
1014220,to buy grazing cattle and more fruits to sell in the market.,1
1014228,to buy bundles of used clothing and with the profit she can pay for her parents' medicine.,2
1014752,to buy two dairy cows,1
1014217,to buy one barber's chair for adults and one for children.,2
1014881,"to buy nets, ropes, fuel, food, etc.",2
1015731,to purchase a tractor and rent it out in order to generate a more stable icnome,2
1014326,to buy a solar panel for her house.,2
1015722,to buy a buffalo to increase milk production and monthly income.,1
1015729,to buy hens and broilers for producing chicken for reselling purpose.,1
1014109,to invest in her cosmetics business.,2
1014581,to pay for seeds and fertilizer for his farm and for forage to feed to his livestock.,1
1014642,to expand her agriculture business. ,2
1014847,"to purchase pineapples, melons, watermelon, papayas, grapes, cabbage, lettuce, string beans, potatoes, tomatoes, green chili peppers, and carrots, among other fruits and vegetables for her business.",2
1015353,"to buy products for her beauty salon, such as creams, shampoo, scissors, hairpins and other things that she needs.",2
1015615,to buy a motorbike,2
1014859,to buy two cows.,1
1014868,"to buy seeds, manure, poison, and fertilizer for her corn crops",2
1015338,to add more sacks of charcoal to her charcoal store for her business to grow.,2
1015433,To buy additional products for her business,2
1014558,to buy land,2
1014849,to purchase raw material for his pizzeria.,2
1014860,to buy maintenance equipment for her cattle ranch.,2
1014866,to buy a motorcycle.,2
1015691,to build a latrine,2
1015314,to expand her business to sell more sarees.,2
1015336,To expand her weaving business to sell more sarees,2
1015339,"to buy more brick moulding equipment, the raw material resources she uses, and also adding to her groceries business.",2
1015429,to provide credit to end users to allow them to purchase a life saving stove.,2
1015435,to buy a lingerie collection for her shop.,2
1015472,"to buy chicks, chicken feeds, and wood and to service his car.",1
1015578,to buy more clothing that she will sell .,2
1015579,to purchase flour and sugar in bulk as well as eggs and other ingredients for her bakery,2
1015580,to increase her purchase of fruits and vegetables for resale .,2
1015614,to purchase new carpentry equipment for his business.,2
1001802,"to buy more stock of cabbages, bananas, and watermelons",2
1014182,to buy new equipment for her business.,2
1013593,"to buy supplies such as flour and sugar, among others.",2
1014056,to buy 50 more bags of charcoal and 50 bundles of firewood for her business.,2
1014080,to purchase more beans to sell,2
1014088,to purchase more stock of second-hand clothes for sale and make more income to provide for the needs of her family.,2
1014116,to buy ladies' clothes for selling.,2
1014126,to buy cows for slaughtering to sell.,2
1014134,to purchase cloth.,2
1014138,"to buy oil, onions, salt, tomato paste, etc.",2
1014151,to buy merchandise to resell.,2
1014154,to buy fabric for his business.,2
1013586,"to buy cement, sand and gravel, and hire workers to install a concrete floor in her house.",2
1013589,"to buy more fertilizers, manures, pest control agents, herbicides, etc. to improve the land.",2
1013591,"to buy meats, sausages, dairy products, baked goods and other products.",2
1014039,to help her son in purchasing a new rickshaw so he can start driving again and can generate income.,2
1014043,to buy new tools and make some decoration in his barber shop.,2
1014059,to buy spare parts and service his motorcycle so as to serve more customers and make more income to support his family.,2
1014060,"to buy necessary business supplies such as textiles, fabrics, and upholstery furniture needs.",2
1014068,"to buy more stock of rice, sugar, flour, and detergent to sell. He hopes this will enable him to get more income to provide for the needs of his family.",2
1014070,"to buy additional grocery items including oil, milk, sugar, juices, etc.",2
1014610,"to buy beans,  Bissap (hibiscus flower) and peanuts for resale.",2
1013513,"to buy seeds, fertilizers, and insecticides to harvest basic grains and vegetables like cucumbers, tomatoes, chilies, and carrots.",2
1013562,to buy 200 chickens for fattening.,1
1013563,to buy food concentrate and vitamins for chickens.,1
1013565,"to buy cement, sand, gravel, sheet metal, and wood to cement the floor and replace the deteriorated roof of her home.",2
1013566,"to purchase fertilizer to apply to her crop of bananas and also to purchase products for her store, such as rice, sugar, drinks, etc.",2
1013571,"to buy: cement, sand, gravel, sheets, and pins to change the floor and roof of his house.",2
1013572,"to buy products like tubs, jars, cups, etc. in mass quantity.",2
1013573,to buy a box for electrical tools.,2
1013576,"to buy cement, gravel and sand to cement the floor of her home.",2
1013579,"to buy tires, chains, patches, pedals, oil, etc. at wholesale",2
1013582,to invest in improvement of local infrastructure.,2
1013585,"to buy sugar, flour, eggs, lard and other products.",2
1014024,to buy mineral fertilizers and seeds,2
1014025,to add to her savings to buy a new rickshaw for her son so he can abstain from paying a daily fare.,2
1014027,to buy a new sewing machine for her husband's tailoring business.,2
1014028,to buy a polyester rickshaw body for her brother's local transportation services.,2
1014034,to buy a rickshaw body and seat covers to financially support her brother.,2
1014036,to buy new rickshaw tires and do a little bit of engine maintenance for her husband's rickshaw driving service.,2
1014037,to buy fresh milk in bulk for her husband's milk trading.,2
1014046,to buy new tools and decorations for his barber shop.,2
1013546,"to purchase merchandise such as rice, sugar, and more.",2
1013550,to purchase more fish to raise in her pond and also to purchase feed for them.,2
1013552,"to purchase supplies such as manure, fertilizers and pay for weeding to maintain his corn and coffee crops.",2
1013553,to buy a milk cow to produce more milk and sell dairy products.,1
1013555,to buy clothes to sell.,2
1013556,to buy tools and materials for his trade.,2
1013558,"to buy cement, sand, and a door to improve the walls and replace the door of her house.",2
1014017,to buy warmer clothes for her husband's clothing shop.,2
1014019,to buy fresh and seasonal fruits for her husband's fruits selling business.,2
1014021,to buy shuttering material for her husband's shuttering services for roofs under construction.,2
1013514,"to get working capital to buy more merchandise, such as noodles, rice, sugar, etc.",2
1013524,"to purchase sugar, rice, eggs, bread, and sandals to stock her store.",2
1013526,"to purchase seeds, manure, and pesticides to plant vegetables.",2
1013528,to purchase more chickens to fatten and concentrated feed for them to sell them when they are big.,1
1013529,"to pay for agricultural labor, applying and incorporating phytosanitary products, fertilizers, and pay labor costs for his harvest.",2
1013535,to purchase the necessary construction materials.,2
1013536,"to purchase rice, corn, beans, eggs, soup, coffee, sauces, candies and sugar for the store.",2
1013539,"purchase ceramic, cement, sand and pay for labor.",2
1013545,to buy young chickens and concentrate to feed them so that he can raise them and later sell them at a good price.,1
1014014,"to buy bulb, tube light and energy savers, electric switches, bulb holders and sockets for her husband's electrician's shop.",2
1013995,to pay for her wedding expenses.,2
1014038,to buy 100 more bags of charcoal.,2
1014053,to increase her business with special offerings of foodstuffs.,2
1014195,to purchase wholesale ingredients to prepare street food,2
1014206,to buy livestock to raise and sell.,1
1014227,"to buy corn, beans, rice, sugar, oil, sauces, drinks, detergents, etc., to supply her store.",2
1014596,"to purchase potato seeds (260 kg), ten packages of fertilizer and forage to feed the livestock.",1
1014836,"to purchase an oven, stainless steel table, refrigerator, and flour",2
1015335,to expand her business by purchasing more clothes for sell.,2
1015866,ti buy cosmetics and various products.,2
1013653,to increase his business. He needs to destroy a wall and build more space to display more products such as grains and grocery items.,2
1014436,to buy pesticides for her coffee farm.,2
1015297,"to add sheets and curtains to her linen business and stock up on more snug blankets, anticipating the winter.",2
1015331,to buy more feed and other supplies for her farm.,1
1015304,"to purchase more roadrunner chickens from the rural areas and to also add quails to her business, as they are very much in demand in restaurants.",1
1015313,to buy a buffalo for her dairy farm so that she can increase milk productivity to fulfill the demand.,1
1015315,to buy a mini wagon for distributing milk to the retailers.,2
1015321,in order to pay rent expenses until  she can rebuild her old house.,2
1015323,"to purchase newer tents for her business, as tents are the money maker in her event business.",2
1013488,"to pay for his agricultural work: for the application and use of pesticides and fertilizers, and to pay labor costs for his harvest.",2
1013512,"to buy potatoes, green chilies, tomatoes and onions for his vegetable-selling business and to pay for the land lease that he farms.",2
1013975,to invest in her clothing sales business.,2
1013977,to buy quality seeds and fertilizer so as to increase maize production,2
1013979,to buy more stock of retail goods such as household utensils for selling,2
1013987,"To purchase farm inputs such as seeds and fertilizer so as to increase yields hence increased income to provide medical care, food and paying school fees for her children.",2
1013989,to buy more second hand clothes for resale so as to meet customers' demands and increase her income to provide food for her family and pay school fees for her children.,2
1013998,to purchase more cattle for selling.,1
1014007,to buy cattle.,1
1014168,to buy traditional pagnes (wrap-around clothing) and food ingredients for resale.,2
1015267,to buy potato seeds for seasonal planting ,2
1015295,to buy fertilizer for rice farming,2
1015588,to stock up on peanuts to be sold. ,2
1015203,to buy piglets to fatten,1
1015273,to pay the university fees for the last semester at university.,2
1015283,to pay university fees for this semester.,2
1015298,"to buy utensils and crockery goods, such as plates, dishes, cups, jars, glasses, jugs, mugs, cauldrons, and buckets, for reselling from his crockery store.",2
1013985,to buy a new glass case and jewelry items for her husband's jewelry shop.,2
1013986,to buy more cows to raise,1
1013993,to fix her husband's rickshaw so he can continue his transportation services.,2
1013972,to purchase additional prepaid airtime credit for helping community members who need access to communication service.,2
1014510,to purchase additional prepaid airtime credit for helping community members who need access to communication service.,2
1014538,to purchase additional prepaid airtime credit so as to help community members who need access to communication service.,2
1013508,to buy more cattle and food for them.,1
1013973,"to buy farm inputs such as seeds and fertilizer so as to improve her production and increase her income to provide food, and medical care and pay school fees for her children.",2
1013982,to expand his fruit and vegetable business.,2
1013988,to purchase additional prepaid airtime credit for helping community members who need access to communication service.,2
1014792,to buy edible products to sell.,2
1015211,to expand her handloom business and sell more sarees.,2
1015216,to expand his rice farm.,2
1012947,to buy various drinks to sell.,2
1012949,"to buy shoes, clothing, dollar store items and other products.",2
1012952,to buy tools for the mechanic workshop.,2
1013487,"to pay for agricultural jobs, applications and incorporations of plant protection products, fertilizers and to pay for the labor for his crops.",2
1013492,to buy fertilizer and invest in the maintenance of his farm.,2
1013494,to invest in the maintenance of the infrastructure where he keeps his tools.,2
1013498,"to pay for agricultural jobs, applications and incorporations of plant protection products, fertilizers and to pay for the labor for his crops.",2
1013960,to buy more clothes.,2
1013962,to purchase additional prepaid airtime credit for helping community members who need access to communication service.,2
1001084,to buy cost-efficient maize seeds and fertilizer for the coming harvesting season.,2
1004560,to buy cost-efficient maize seeds and fertilizer for the coming season.,2
1004671,to buy cost efficient maize seeds and fertilizer for the coming harvesting season.,2
1014012,to buy cost efficient maize seeds and fertilizer for the coming harvesting season,2
1014045,to purchase hybrid seeds and fertilizer to improve harvests of maize.,2
1014054,to buy cost-efficient maize seeds and fertilizer for the coming harvesting season.,2
1014072,to buy cost efficient maize seeds and fertilizer for the coming harvesting season,2
1014107,to gain access to cost-efficient hybrid seeds and fertilizer for maize cultivation.,2
1014380,to purchase a solar light and gain access to cost efficient hybrid seeds and fertilizer for the next harvesting season.,2
1014392,to purchase hybrid seeds and fertilizer to improve harvests of maize,2
1013925,to gain access to cost efficient hybrid seeds and fertilizer for maize cultivation.,2
1013928,to pay the plowing fee to grow her crop fruitfully and healthily.,2
1013932,to buy a new rickshaw for her husband so he can repair his rickshaw for driving.,2
1013933,to maintain his car which he uses to go to his work,2
1013940,"to buy artificial jewelry such as rings, earrings, bracelets, and necklaces for her husband's jewelry shop.",2
1013942,"to buy cost efficient maize seeds and fertilizer for the coming harvesting season, as well as a solar lights.							.",2
1013947,to buy a new rickshaw body for her husband to compensate for accidental damage.,2
1013955,to purchase hybrid seeds and fertilizer for the�cultivation�of maize							,2
1013958,"to purchase hybrid seeds and fertilizer for the�cultivation�of maize, as well as a solar light.							",2
1013961,to buy new beauty products and equipment.,2
1013813,to buy new rickshaw repairing tools and more spare parts for her husband's rickshaw repairing workshop.,2
1013815,to buy an moto-rickshaw body for her son's local transportation services.,2
1013822,to buy stock of iron rods and welding raw materials for her husband's rickshaw body shop.,2
1013824,to invest in her husband's general store.,2
1013827,"to buy cardboard, paint and chemicals for her husband's cardboard printing business.",2
1013828,to buy the latest cosmetics products.,2
1013915,to buy items to sell.,2
1013916,to purchase a solar light and gain access to cost efficient hybrid seeds and fertilizer for maize cultivation.,2
1013923,to buy a CNG rickshaw for her son so he can minimize the fuel cost.,2
1013924,To buy wedding dresses for organizing new business,2
1013502,to buy the fast moving items in his retail shop.,2
1013503,to buy construction materials,2
1013505,to restore the out of stock items in the shop inventory,2
1013506,to fix a room in his house.,2
1013507,to fix the house where he lives.,2
1013903,to buy quality seeds and fertilizer.,2
1013909,to purchase a solar light and gain access to cost efficient hybrid seeds and fertilizer for maize cultivation.,2
1013912,to purchase clothes to sell.,2
1011140,to purchase more sorghum for making local soft drinks.,2
1014758,to buy sandals and new clothing to sell.,2
1015175,"to support her family's living (food, shelter, healthcare, education, etc.).",2
1012412,"to purchase more bananas, avocado, aubergine, cabbages, etc., to sell.",2
1013866,to buy a new collection of women's clothes for the spring season.,2
1013875,"to buy items to sell like bread, condiments, junk food, home care products and other groceries",2
1013882,to purchase more fish and shrimp to resell,2
1013883,to purchase hybrid seeds and fertilizer to improve harvests of maize							,2
1013895,to buy a new taxi car which will facilitate his business.,2
1013896,to buy feeds and vitamins for her pigs.,1
1013919,"to buy ingredients such as, meat, spices, etc.",2
1013921,to purchase hybrid seeds and fertilizer to improve harvests of maize.,2
1010022,"to buy 1,000 wood planks to sell.",2
1011314,to buy medicine to sell.,2
1015130,to buy a small van to transport students as a second source of income,2
1015583,to raise sheep for later sale.,1
1011970,to buy necessary construction materials.,2
1012736,"to buy cut firewood, sand, clay, and other supplies.",2
1012785,"to buy vegetables, bread, fruits, meat, drinks and other items. ",2
1013385,to purchase a new sewing machine for his wife to improve the quality of her work and also work much more efficiently and quickly.,2
1013490,to buy cartons of fish and loaves of bread for her business.,2
1013493,to increase the fish stock and to buy cooking oil and charcoal for cooking.,2
1013534,to purchase three bales of clothing for her business.,2
1013547,to buy cattle ,1
1013561,to buy five more bags of rice for her business.,2
1013607,to fix the house where he lives,2
1013741,to buy more sea food to sell.,2
1013771,to buy more seafood to sell.,2
1013773,"to buy ingredients for her food vending business such as vegetables, fish, meat, spices, etc.",2
1013774,to purchase baby pigs to raise and sell in the future.,1
