id,description,value
1013808,to purchase grocery products and open a new store,0
1014055,to buy and sell footwear,0
1014202,to pay for the rental of 3 hectares of land where she cultivates basic grains.,0
1014617,to pay for 450 kgs of potato seeds and 150 packages of fodder to feed the livestock.,0
1015061,pay for medical treatment.,0
1015539,"to buy  more soft drinks, bread and other kind of products for her grocery store",0
1015705,to add more stock to his retail shop and also to start up a new mobile money service famously known as Tigo Pesa.,0
1015927,to pay for an old Soviet Union production truck to transport his harvest and animals from his farm to the market.,0
1015328,to pay rent expenses until she can rebuild her old house.,0
1014200,to buy corn to sell tortillas and to invest in buying livestock.,0
1014639,to invest in the production and cultivation of potatoes.,0
1014975,to buy beauty products for her beauty parlor.,0
1015317,"to restock sheets, blankets and curtains in bulk for reselling in Mozambique.",0
1013693,to build a fitting house for her family.,0
1013826,to buy dairy cows in order to increase his livestock headcount and organic milk production volumes,0
1014139,"to buy a variety of clothing, shoes, stationery items, and various other products",0
1014635,to buy a new winter collection of shoes to sell at his stall.,0
1014648,to pay for tools and materials for providing auto repair work.,0
1014751,to acquire a large space for his barbershop.,0
1014767,to buy cooking ingredients wholesale so that she will have time to care for her baby.,0
1014870,to buy silverware to sell in her gift shop.,0
1014885,"to buy food for pigs, toothbrushes, toothpaste, Garden products, etc. ",0
1014987,to buy more fabric and other sewing accessories,0
1015024,to buy more chests and cradles,0
1015404,to buy cattle for fattening and trade.,0
1015457,To purchase agricultural supplies for his cabbage crop.,0
1015527,to pay for repairs of his house,0
1015734,to buy stock of cardboard for making boxes so he can fulfill his new contract.,0
1015796,"to pay for a sow, purchase forage for feeding the livestock and to renovate the engine of a tractor to organize harvesting.",0
1015837,to buy the latest style of clothes to meet her customer's requirements.,0
1015857,to purchase a new trailer so she can continue working and improve her business.,0
1015917,to pay for potato seeds to feed the livestock,0
1015989,buy 10 bags of fertilizer and 5 boxes of herbicide.,0
1014247,to buy merchandise for his general store.,0
1014249,to buy blankets in bulk for resale.,0
1015585,to buy supplies for her general store.,0
1015726,to buy a compression molding machine and plastic crushing raw materials for manufacturing plastic accessories. ,0
1015736,to purchase a car and start a taxi business.,0
1015810,"to pay for 5 piglets, fertilizer, forage for feeding the livestock and organizes partial renovation of the tractor",0
1015838,to restock her new grocery store with more crates of beers and soda to cover ongoing customers demand.,0
1015914,to buy cocoa for resale.,0
1016324,to stock up her pharmacy and grocery store.,0
1016334,to finance her poultry farming.,0
1007663,to buy beans and corn for his produce trading business.,0
1013662,to buy corn and wood.,0
1013669,"to buy eggs, detergents, soaps, boxes of coffee, potatoes, candies, etc in order to stock her store.",0
1013670,"to purchase agricultural products such as fertilizers, herbicides and seeds to prepare the land for planting crops.",0
1013672,"to buy shirts, pants and blouses in order to have a more diverse inventory for her customers.",0
1013674,"to buy corn, plantains, rice, milk, cabbage. chicken meat. cheese, potatoes, flour, yeast, eggs, etc.",0
1013675,"to buy more seeds, fertilizer, compost, pest control, etc., and improve the soil.",0
1014412,to purchase a solar light and gain access to cost efficient hybrid seeds and fertilizer for the coming harvesting season,0
1014452,"to pay for music discs, video games and new stock of perfume to sell in his store. ",0
1005091,to purchase stock of goats to slaughter and get meat for resale,0
1005788,to purchase a solar light and gain access to cost efficient hybrid seeds and fertilizer for maize cultivation.,0
1006352,"to buy food and clothing, eliminating pressure to sell maize for low prices at harvest time.",0
1006468,to purchase mobile devices (phones) in bulk,0
1006936,to buy more stock of fruits and vegetables.,0
1007773,to repair and maintain his motorcycle.,0
1013661,to buy concentrate and vitamins for two cows that have recently given birth and also to buy fertilizer for fruit trees.,0
1013666,to buy two calves to feed and later sell.,0
1013668,to purchase a calf.,0
1014408,to buy cost efficient maize seeds and fertilizer for the coming harvesting season.,0
1013623,"to buy a herd of calves, vaccinations, and supplies.",0
1013649,"to purchase sugar, rice, beans, candy, soup, bread, beverages, soap, condiments, eggs, and other items to stock his store.",0
1013652,to buy DVD's for his business.,0
1013654,to buy vegetables and have a better supplied business.,0
1013657,"to pay rent for a threshing machine and a grinder for cattle fodder, and to pay porters to help harvest the corn crop.",1
1013659,to pay laborers to help him reap the harvest and to buy a refrigerator to keep ice cream.,1
1013663,to buy basic grains and wood to sell.,0
1013664,"to buy a stove and a freezer, to allow her to have the work equipment that she needs in her business to prepare and conserve the foods that she sells.",0
1014420,"to buy items to sell like canned goods, noodles, spices, milk, drinks, coffee, bread, candies and other personal care products",0
1014422,to purchase a solar light and gain access to cost efficient hybrid seeds and fertilizer for maize cultivation.,0
1005148,to add stock of fruits and rent another little plot for vegetables.,0
1005171,to buy assorted tableware and a variety of other merchandise,0
1005214,to purchase bales of clothes for resale.,0
1013621,"to purchase some cooking implements, upgrade her equipment, and buy stock to make beans, ��_��__��_��___��_��__��_��____sudado��_��__��_��___��_��__��_��____ and ��_��__��_��___��_��__��_��____sancocho��_��__��_��___��_��__��_��____ [traditional stews made with beef or chicken], chicken with rice, and other types of dishes.",0
1013640,to buy clothes for women.,0
1013647,"to buy a new stove, tables, chairs, pans, spoons and forks, among other utensils she needs for her eating establishment.",0
1014401,"to buy more stock of flour, sugar, soap, cooking oil and other items.",0
1014403,to buy cost efficient maize seeds and fertilizer for the coming harvesting season.,0
1014405,to buy more cattle for fattening.,0
1014407,to buy salon items like braids and weaves to use in her salon.,0
1014372,to buy two calves and food for cattle.,0
1014376,to buy two calves and six sheep.,0
1014426,to buy three calves.,0
1014433,to buy two calves and six sheep.,0
1013219,to increase her beauty salon business.,0
1013634,to buy a motorcycle to transport his products.,0
1013638,to buy soft drinks and beers.,0
1013639,"to buy spare parts for his motorcycle, which is his main means of transport to go to work.",0
1013642,to have working capital to acquire power to negotiate with her suppliers.,0
1013768,to purchase baby livestock to raise and sell in future.,0
1014013,to buy rexine of various types for her husband's vehicle's seat cover sewing and then selling business.,0
1014371,to buy three calves.,0
1013631,"to diversify her business by incorporating new products, such as women's clothing.",0
1013632,to buy construction materials to remodel her guest accommodations.,0
